question,context_recall_gemini,faithfulness_gemini,answer_relevancy_gemini,context_recall_openai,faithfulness_openai,answer_relevancy_openai,context_recall_diff_openai_minus_gemini,faithfulness_diff_openai_minus_gemini,answer_relevancy_diff_openai_minus_gemini
DRUNK ELEPHANT markasının The Littles™ ürününün puanı kaç?,1.0,1.0,0.8944982336376377,1.0,1.0,0.8389582652184892,0.0,0.0,-0.055539968419148544
The Littles™ ürünü hangi cilt tipleri için uygundur?,,1.0,0.9092387265802856,1.0,1.0,0.9827457959774376,,0.0,0.07350706939715201
"The Littles™ ürünün,n fiyatı nedir?",1.0,1.0,0.9136711697380204,1.0,1.0,0.9136711697380204,0.0,0.0,0.0
TATCHA markasının The Water Cream ürününün puanı kaç?,1.0,1.0,0.8910871289824657,1.0,1.0,0.8924441432707919,0.0,0.0,0.0013570142883262415
The Water Cream ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9335963401245844,1.0,1.0,0.9122797950199426,0.0,0.0,-0.02131654510464176
"The Water Cream ürünün,n fiyatı nedir?",1.0,1.0,0.9031450186246768,1.0,1.0,0.9031450186246768,0.0,0.0,0.0
SHISEIDO markasının Bio-Performance Advanced Super Revitalizing Cream ürününün puanı kaç?,1.0,1.0,0.9182041060066828,1.0,1.0,0.9175940001331472,0.0,0.0,-0.0006101058735356046
Bio-Performance Advanced Super Revitalizing Cream ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Bio-Performance Advanced Super Revitalizing Cream ürünün,n fiyatı nedir?",1.0,1.0,0.9188805271539126,1.0,1.0,0.9188805271539126,0.0,0.0,0.0
IT COSMETICS markasının Your Skin But Better™ CC+™ Cream with SPF 50+ ürününün puanı kaç?,1.0,1.0,0.9207340492057936,,1.0,0.9207340492057936,,0.0,0.0
Your Skin But Better™ CC+™ Cream with SPF 50+ ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9422573836181614,1.0,1.0,0.9422573836181614,0.0,0.0,0.0
"Your Skin But Better™ CC+™ Cream with SPF 50+ ürünün,n fiyatı nedir?",1.0,1.0,0.9319478988240985,1.0,1.0,0.9318742030526618,0.0,0.0,-7.369577143667705e-05
LA MER markasının Crème de la Mer Mini ürününün puanı kaç?,1.0,1.0,,1.0,1.0,0.8842115967158075,0.0,0.0,
Crème de la Mer Mini ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9131173335098888,1.0,1.0,0.9131173335098888,0.0,0.0,0.0
"Crème de la Mer Mini ürünün,n fiyatı nedir?",1.0,1.0,0.9048592307492987,1.0,1.0,0.9048592307492987,0.0,0.0,0.0
FRESH markasının Lotus Youth Preserve Moisturizer ürününün puanı kaç?,1.0,1.0,0.8969325458976515,1.0,1.0,0.8969325458976515,0.0,0.0,0.0
Lotus Youth Preserve Moisturizer ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Lotus Youth Preserve Moisturizer ürünün,n fiyatı nedir?",1.0,1.0,0.9032838039130768,1.0,1.0,0.9032838039130768,0.0,0.0,0.0
SK-II markasının Facial Treatment Essence ürününün puanı kaç?,1.0,1.0,0.9017773618446304,1.0,1.0,0.9041780761764012,0.0,0.0,0.0024007143317708035
Facial Treatment Essence ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9167546876501586,1.0,1.0,0.9167602084344876,0.0,0.0,5.520784329027251e-06
"Facial Treatment Essence ürünün,n fiyatı nedir?",1.0,1.0,0.9111761228189436,1.0,1.0,0.9111761228189436,0.0,0.0,0.0
SUNDAY RILEY markasının Luna Sleeping Night Oil ürününün puanı kaç?,1.0,1.0,0.8769048533107698,1.0,1.0,0.9129609598345652,0.0,0.0,0.03605610652379532
Luna Sleeping Night Oil ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9200424067219548,1.0,1.0,0.919969909351146,0.0,0.0,-7.249737080883278e-05
"Luna Sleeping Night Oil ürünün,n fiyatı nedir?",1.0,1.0,0.9147364694738674,1.0,1.0,0.9147364694738674,0.0,0.0,0.0
LA MER markasının The Moisturizing Soft Cream ürününün puanı kaç?,1.0,1.0,0.8858807275719349,1.0,1.0,0.8781639798571779,0.0,0.0,-0.007716747714757055
The Moisturizing Soft Cream ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9208152585903928,1.0,1.0,0.9208152585903928,0.0,0.0,0.0
"The Moisturizing Soft Cream ürünün,n fiyatı nedir?",1.0,1.0,0.9126471518246358,1.0,1.0,0.9126471518246358,0.0,0.0,0.0
KIEHL'S SINCE 1851 markasının Ultra Facial Cream ürününün puanı kaç?,1.0,1.0,0.9141641809775388,1.0,1.0,0.9141641809775388,0.0,0.0,0.0
Ultra Facial Cream ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9094022853973164,1.0,1.0,0.9095981927990976,0.0,0.0,0.00019590740178121457
"Ultra Facial Cream ürünün,n fiyatı nedir?",1.0,1.0,0.892691932293162,1.0,1.0,0.892691932293162,0.0,0.0,0.0
SK-II markasının R.N.A. POWER Face Cream ürününün puanı kaç?,1.0,1.0,0.9160083726207044,1.0,1.0,0.9160083726207044,0.0,0.0,0.0
R.N.A. POWER Face Cream ürünü hangi cilt tipleri için uygundur?,1.0,0.75,0.9780322100807926,1.0,1.0,0.9780209544634374,0.0,0.25,-1.125561735515479e-05
"R.N.A. POWER Face Cream ürünün,n fiyatı nedir?",1.0,1.0,0.9221442020068374,1.0,1.0,0.9221442020068374,0.0,0.0,0.0
FARMACY markasının Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™ ürününün puanı kaç?,1.0,1.0,0.90407631317019,1.0,1.0,0.90407631317019,0.0,0.0,0.0
Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™ ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9090002102720068,1.0,1.0,0.9090002102720068,0.0,0.0,0.0
"Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™ ürünün,n fiyatı nedir?",1.0,1.0,0.9257121531232578,1.0,1.0,0.9257387504648028,0.0,0.0,2.659734154497606e-05
FIRST AID BEAUTY markasının Ultra Repair® Cream Intense Hydration ürününün puanı kaç?,1.0,1.0,0.9063559473732288,1.0,1.0,0.9077434283094776,0.0,0.0,0.0013874809362488527
Ultra Repair® Cream Intense Hydration ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9146356498509096,1.0,1.0,0.9146356498509096,0.0,0.0,0.0
"Ultra Repair® Cream Intense Hydration ürünün,n fiyatı nedir?",1.0,1.0,0.9072061752470952,1.0,1.0,0.9072061752470952,0.0,0.0,0.0
LA MER markasının Little Miss Miracle Limited-Edition Crème de la Mer ürününün puanı kaç?,1.0,1.0,0.8978667182023186,1.0,1.0,0.8968587906235284,0.0,0.0,-0.001007927578790202
Little Miss Miracle Limited-Edition Crème de la Mer ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"Little Miss Miracle Limited-Edition Crème de la Mer ürünün,n fiyatı nedir?",1.0,1.0,0.9151769031039736,1.0,1.0,0.9151769031039736,0.0,0.0,0.0
DRUNK ELEPHANT markasının Lala Retro™ Whipped Cream ürününün puanı kaç?,1.0,1.0,0.9111887333044454,1.0,1.0,0.8678427253608628,0.0,0.0,-0.043346007943582565
Lala Retro™ Whipped Cream ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9808903148635698,1.0,1.0,0.9262249064060026,0.0,0.0,-0.05466540845756718
"Lala Retro™ Whipped Cream ürünün,n fiyatı nedir?",1.0,1.0,0.914312841261308,1.0,1.0,0.914312841261308,0.0,0.0,0.0
FRESH markasının Rose Deep Hydration Moisturizer ürününün puanı kaç?,1.0,1.0,0.8932597839227023,1.0,1.0,0.8920116191813051,0.0,0.0,-0.0012481647413972174
Rose Deep Hydration Moisturizer ürünü hangi cilt tipleri için uygundur?,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
"Rose Deep Hydration Moisturizer ürünün,n fiyatı nedir?",1.0,1.0,0.8919115694060892,1.0,1.0,0.8919115694060892,0.0,0.0,0.0
BELIF markasının The True Cream Aqua Bomb ürününün puanı kaç?,1.0,1.0,0.9041539109064743,1.0,1.0,0.9050263994286168,0.0,0.0,0.0008724885221425005
The True Cream Aqua Bomb ürünü hangi cilt tipleri için uygundur?,1.0,1.0,0.9258871787457892,1.0,1.0,0.9258871787457892,0.0,0.0,0.0
"The True Cream Aqua Bomb ürünün,n fiyatı nedir?",1.0,1.0,0.9211798798637528,1.0,1.0,0.9211798798637528,0.0,0.0,0.0
